"waveband","wavenumber","q05","q95","mean","sd"
"w3893",3893,0.214460587323366,0.6719194,6227595.06115638,3116897114.94351
"w3891",3891,0.21395159285391,0.67175075,-1668675.56782178,835168585.927691
"w3889",3889,0.213690058923495,0.6715173,447109.787806569,223777228.764178
"w3887",3887,0.215485,0.673219,-119761.003839837,59940329.134393
"w3885",3885,0.216434842975922,0.674131,32096.497050675,16064008.2069115
"w3883",3883,0.2156217,0.67363145,-8582.47081290573,4295723.58876337
"w3882",3882,0.2153007,0.6736723,2303.84363808381,1152852.32947093
"w3880",3880,0.2146117,0.6735376,-618.33569255907,309691.701385666
"w3878",3878,0.215103091088583,0.6739899,165.703182203244,82717.6533404222
"w3876",3876,0.216961912949102,0.67577235,-43.8774920716172,22177.9226475753
"w3874",3874,0.21754405,0.6766388,12.3000929243244,5938.48734147471
"w3872",3872,0.2169174,0.67651805,-2.74379253471719,1590.80522350366
"w3870",3870,0.215904508573923,0.6761529,1.28552683648295,426.144932305177
"w3868",3868,0.215377500143567,0.67573875,0.205920090844181,114.156535371721
"w3866",3866,0.216994904335816,0.67709535,0.496676838753551,30.5798991763094
"w3864",3864,0.217811683385677,0.67826245,0.420267830814975,8.19401795740525
"w3862",3862,0.21733415,0.6782333,0.441135056635569,2.19949280139288
"w3860",3860,0.218475319398714,0.6793726,0.436846770447683,0.60958188142369
"w3858",3858,0.220601874507127,0.68139865,0.440376279341281,0.223255328547225
"w3856",3856,0.22192706028666,0.68356015,0.441435535368888,0.164814653807495
"w3855",3855,0.219921051526386,0.68313145,0.440436348365108,0.159937380793924
"w3853",3853,0.213636,0.67876965,0.435694465534088,0.160064356748374
"w3851",3851,0.2138771,0.67831615,0.435927566834928,0.159578574555175
"w3849",3849,0.2193417,0.68221315,0.440667531706338,0.159082261179108
"w3847",3847,0.223949032350915,0.6861763,0.444756359882345,0.158949870302236
"w3845",3845,0.2261147,0.68866655,0.446803781309296,0.159048268149386
"w3843",3843,0.225628841069484,0.68890695,0.446787765784546,0.159285497397015
"w3841",3841,0.2243231,0.68864435,0.446029455496061,0.159593510150042
"w3839",3839,0.223105608927103,0.68855005,0.445600834560936,0.159845107321081
"w3837",3837,0.22276425,0.68868775,0.445690900756409,0.15986418886731
"w3835",3835,0.22368225,0.68963225,0.446829188980693,0.159738252011515
"w3833",3833,0.224860915691215,0.69101395,0.448221383509923,0.159749675159549
"w3831",3831,0.22557833185155,0.69240245,0.449276189577796,0.159853350421353
"w3829",3829,0.22657055,0.6938006,0.450583087852053,0.159934963228318
"w3828",3828,0.227742582397085,0.69554425,0.452019221347911,0.160053296272795
"w3826",3826,0.2285487,0.69690635,0.453169865628296,0.160234928492911
"w3824",3824,0.22952755,0.69856215,0.454454566377341,0.160435420727726
"w3822",3822,0.229393098599284,0.69962295,0.454973128127813,0.160758631615444
"w3820",3820,0.227744222159387,0.6993299,0.454258520011268,0.161001391835985
"w3818",3818,0.228577401627635,0.7006036,0.455457652443002,0.161022476677668
"w3816",3816,0.2297076,0.70256975,0.457136622742242,0.161132756140388
"w3814",3814,0.230210381204468,0.7039762,0.458249851599341,0.161233498032782
