wavelength,p10,p90
1606,1.36277,1.71375
1608,1.37048084555067,1.71934
1610,1.37801,1.7249
1612,1.38439410509516,1.72993
1614,1.38935,1.73368
1616,1.39558,1.73944384610303
1618,1.40191958141253,1.74679
1619,1.40385,1.75133
1621,1.403849435568,1.75546
1623,1.40291547048302,1.76123
1625,1.40044,1.7668
1627,1.39694349520285,1.77184
1629,1.39283,1.77644
1631,1.38825,1.77908
1633,1.38294,1.7801
1635,1.37769,1.78223897372151
1637,1.37262,1.78517959509878
1639,1.36753,1.7857
1641,1.36188,1.78453
1643,1.35568,1.78194
1645,1.34914319848429,1.77891801190149
1646,1.34456,1.77679
1648,1.34004,1.7741
1650,1.3354,1.76976
1652,1.3304,1.76543577574458
1654,1.3269932895834,1.76274
1656,1.32245,1.75852
1658,1.31704889608572,1.75215
1660,1.31131111757247,1.74514
1662,1.30618,1.73788
1664,1.30181,1.7302
1666,1.29743722237843,1.72223
1668,1.29306988276274,1.71348
1670,1.29003749756608,1.70468
1671,1.28835,1.69672
1673,1.28522,1.68805
1675,1.28236859790989,1.67878
1677,1.27861,1.66927
1679,1.27354,1.65896
1681,1.26757961753139,1.64779
1683,1.25981,1.63547
1685,1.2503605563888,1.62286
1687,1.24058,1.6108
1689,1.22933,1.59795
1691,1.21667,1.58432
1693,1.20393791758591,1.57037579110825
1695,1.18932690813047,1.55531
1697,1.17377,1.53984
1698,1.16189,1.52629
1700,1.14769,1.51254
1702,1.13489,1.50016
1704,1.12381,1.48885
1706,1.11196,1.4772
1708,1.10088689430877,1.46643
1710,1.09023,1.45587
1712,1.07946,1.44533
1714,1.06887111127031,1.43453
1716,1.05807,1.42414
1718,1.04795,1.41477
1720,1.03963,1.40579
1722,1.03145,1.39649
1724,1.02295,1.38688
1725,1.01605,1.37755
1727,1.00772,1.36782
1729,0.999444,1.35795
1731,0.991693,1.34803644000081
1733,0.983895,1.33853
1735,0.976698,1.32974
1737,0.970356845497331,1.32125
1739,0.963755,1.31251
1741,0.957101974504627,1.30359
1743,0.950879728776759,1.29433
1745,0.944721,1.28478
1747,0.939031777644403,1.275
1749,0.933914,1.26535
1751,0.930084494816967,1.25654
1752,0.927757,1.24846
1754,0.92497,1.24043
1756,0.923069163820336,1.23313
1758,0.92214,1.22686
1760,0.922306,1.22206
1762,0.923924722643955,1.2184
1764,0.925752,1.21558
1766,0.927368,1.21334
1768,0.929106231115272,1.21241
1770,0.930598,1.21285
1772,0.931726381820416,1.21549
1774,0.931915,1.21902
1776,0.930739,1.22034
1778,0.92864,1.22068
1779,0.9267,1.221
1781,0.924573,1.22099
1783,0.922325212325468,1.22111
1785,0.920078,1.22124
1787,0.917731343192867,1.2214
1789,0.915034,1.22128
1791,0.912660625044511,1.22181
1793,0.910578963446394,1.22229
1795,0.907994,1.22067
1797,0.905031209853009,1.21756
1799,0.901867997610602,1.21331
1801,0.898759449,1.20835
1803,0.895686,1.20247
1805,0.891943,1.19627
1806,0.889107,1.19053
1808,0.885327,1.18511
1810,0.881589,1.18048
1812,0.878052384109149,1.17614
1814,0.874505,1.17176
1816,0.870946652589044,1.16748
1818,0.867435895694076,1.1637
1820,0.863778503245038,1.15948
1822,0.860008379197157,1.15511
1824,0.856239,1.1506
1826,0.852311,1.14593
1828,0.848467,1.14136
1830,0.84529,1.13746
1832,0.842537,1.13399
1833,0.840558682580961,1.13105
1835,0.838602507599843,1.12902
1837,0.837398,1.12834
1839,0.836401,1.12868
1841,0.835765555930497,1.12975
1843,0.83613,1.1335
1845,0.837616414958541,1.13999
1847,0.839033158157548,1.14658
1849,0.840302,1.15448
1851,0.841653,1.1644
1853,0.842944737596665,1.17552
1855,0.844254439353026,1.18795
1857,0.845342,1.20088
1859,0.846136,1.21384
1860,0.846391,1.22576
1862,0.84619877946762,1.23576
1864,0.845303756200627,1.24311
1866,0.844062,1.24851
1868,0.843043386866407,1.25251
1870,0.842053,1.25414
1872,0.840243100293039,1.25297
1874,0.838179,1.25025
1876,0.836014,1.24691
1878,0.833813816453512,1.24324
1880,0.831671,1.23923
1882,0.829508,1.23477
1884,0.827248582082497,1.22979
1886,0.82489,1.22404
1887,0.822959103523873,1.21792870346233
1889,0.820503021267921,1.2106
1891,0.817962178356448,1.20232
1893,0.815171907148281,1.19284
1895,0.812264164082233,1.18256
1897,0.809081039008059,1.17204
1899,0.805737291329347,1.16168
1901,0.802539,1.1511
1903,0.798859,1.14024
1905,0.794820037276884,1.12966
1907,0.790727,1.1185
1909,0.786296,1.10774
1911,0.781927,1.09765
1913,0.777433,1.0888
1914,0.773947870111541,1.08074
1916,0.76973,1.07371
1918,0.766243,1.06831
1920,0.763141,1.06421
1922,0.760623,1.06142
1924,0.758711367817789,1.05974
1926,0.757103344435936,1.05865
1928,0.755695701850404,1.05796
1930,0.754512,1.05753
1932,0.75334,1.05719
1934,0.752200212950794,1.05681
1936,0.751062,1.05643
1938,0.749803,1.05574
1940,0.748430583108973,1.05498
1941,0.747621511020546,1.05449
1943,0.746615875646235,1.0543
1945,0.745448,1.05369
1947,0.744079615917813,1.05271
1949,0.742568317775826,1.05139
1951,0.740866,1.04978
1953,0.739133886633748,1.04799
1955,0.737514,1.0465
1957,0.736137,1.04528
1959,0.73505,1.04482
1961,0.734165,1.04512
1963,0.733472,1.04569955298221
1965,0.73294,1.04685
1967,0.732673533018945,1.04829
1968,0.732555475335285,1.04972
1970,0.73205,1.0506
1972,0.731180688545078,1.05074
1974,0.730266,1.05039
1976,0.729119678262012,1.04951
1978,0.728048448081563,1.04864079435976
1980,0.726842,1.04762
1982,0.725635,1.04657
1984,0.724413829828874,1.04557
1986,0.723279,1.04469
1988,0.722206551610918,1.04398
1990,0.72121,1.04343
1992,0.720309,1.0431
1994,0.719366,1.04244
1995,0.718515934862521,1.04112
1997,0.71704615748771,1.03926
1999,0.715456,1.037
2001,0.713643,1.0343
2003,0.711562611341671,1.0311
2005,0.709242,1.02681
2007,0.70651417023872,1.0216
2009,0.703274,1.01538
2011,0.699829764328007,1.00873
2013,0.695979,1.00148
2015,0.692127053746766,0.994458
2017,0.688574,0.98825
2019,0.68563,0.983134
2021,0.683087004582043,0.978894
2022,0.68137188857269,0.9754
